sample,caller,vtype,metric,value
NA24385,manta,DEL,fp,61
NA24385,manta,INS,fp,33
NA24385,manta,DEL,fn,246
NA24385,manta,INS,fn,557
NA24385,manta,DEL,tp,164
NA24385,manta,INS,tp,123
NA24385,lumpy-lumpyexpress-nogt,DEL,fp,233
NA24385,lumpy-lumpyexpress-nogt,INS,fp,4
NA24385,lumpy-lumpyexpress-nogt,DEL,fn,335
NA24385,lumpy-lumpyexpress-nogt,INS,fn,574
NA24385,lumpy-lumpyexpress-nogt,DEL,tp,102
NA24385,lumpy-lumpyexpress-nogt,INS,tp,86
NA24385,lumpy-lumpyexpress,DEL,fp,24
NA24385,lumpy-lumpyexpress,INS,fp,0
NA24385,lumpy-lumpyexpress,DEL,fn,323
NA24385,lumpy-lumpyexpress,INS,fn,670
NA24385,lumpy-lumpyexpress,DEL,tp,86
NA24385,lumpy-lumpyexpress,INS,tp,16
NA24385,lumpy-smoove,DEL,fp,137
NA24385,lumpy-smoove,INS,fp,1
NA24385,lumpy-smoove,DEL,fn,361
NA24385,lumpy-smoove,INS,fn,710
NA24385,lumpy-smoove,DEL,tp,95
NA24385,lumpy-smoove,INS,tp,17
NA24385,lumpy-smoove-0.1.5,DEL,fp,189
NA24385,lumpy-smoove-0.1.5,INS,fp,0
NA24385,lumpy-smoove-0.1.5,DEL,fn,304
NA24385,lumpy-smoove-0.1.5,INS,fn,610
NA24385,lumpy-smoove-0.1.5,DEL,tp,100
NA24385,lumpy-smoove-0.1.5,INS,tp,62
