sample,caller,vtype,metric,value
CHM1_CHM13,deepvariant,SNPs,tp,224713
CHM1_CHM13,deepvariant,Indels,tp,26025
CHM1_CHM13,deepvariant,SNPs,fp,2383
CHM1_CHM13,deepvariant,Indels,fp,2233
CHM1_CHM13,deepvariant,SNPs,fn,3749
CHM1_CHM13,deepvariant,Indels,fn,8702
CHM1_CHM13,gatk-haplotype,SNPs,tp,223891
CHM1_CHM13,gatk-haplotype,Indels,tp,26216
CHM1_CHM13,gatk-haplotype,SNPs,fp,2174
CHM1_CHM13,gatk-haplotype,Indels,fp,2286
CHM1_CHM13,gatk-haplotype,SNPs,fn,4571
CHM1_CHM13,gatk-haplotype,Indels,fn,8511
CHM1_CHM13,strelka2,SNPs,tp,222502
CHM1_CHM13,strelka2,Indels,tp,25958
CHM1_CHM13,strelka2,SNPs,fp,1574
CHM1_CHM13,strelka2,Indels,fp,2005
CHM1_CHM13,strelka2,SNPs,fn,5960
CHM1_CHM13,strelka2,Indels,fn,8769
CHM1_CHM13,freebayes,SNPs,tp,224089
CHM1_CHM13,freebayes,Indels,tp,23568
CHM1_CHM13,freebayes,SNPs,fp,3705
CHM1_CHM13,freebayes,Indels,fp,2591
CHM1_CHM13,freebayes,SNPs,fn,4373
CHM1_CHM13,freebayes,Indels,fn,11159
NA12878,strelka2,SNPs,tp,194029
NA12878,strelka2,Indels,tp,27919
NA12878,strelka2,SNPs,fp,108
NA12878,strelka2,Indels,fp,1571
NA12878,strelka2,SNPs,fn,820
NA12878,strelka2,Indels,fn,580
NA12878,deepvariant,SNPs,tp,194186
NA12878,deepvariant,Indels,tp,26621
NA12878,deepvariant,SNPs,fp,141
NA12878,deepvariant,Indels,fp,2376
NA12878,deepvariant,SNPs,fn,663
NA12878,deepvariant,Indels,fn,1878
NA12878,gatk-haplotype,SNPs,tp,194008
NA12878,gatk-haplotype,Indels,tp,27134
NA12878,gatk-haplotype,SNPs,fp,193
NA12878,gatk-haplotype,Indels,fp,1414
NA12878,gatk-haplotype,SNPs,fn,841
NA12878,gatk-haplotype,Indels,fn,1365
NA12878,freebayes,SNPs,tp,194147
NA12878,freebayes,Indels,tp,26068
NA12878,freebayes,SNPs,fp,742
NA12878,freebayes,Indels,fp,1799
NA12878,freebayes,SNPs,fn,702
NA12878,freebayes,Indels,fn,2431
