sample,caller,vtype,metric,value
CHM1_CHM13,deepvariant,SNPs,tp,224153
CHM1_CHM13,deepvariant,Indels,tp,25736
CHM1_CHM13,deepvariant,SNPs,fp,2528
CHM1_CHM13,deepvariant,Indels,fp,2265
CHM1_CHM13,deepvariant,SNPs,fn,4037
CHM1_CHM13,deepvariant,Indels,fn,8859
CHM1_CHM13,gatk-haplotype,SNPs,tp,223043
CHM1_CHM13,gatk-haplotype,Indels,tp,25869
CHM1_CHM13,gatk-haplotype,SNPs,fp,2258
CHM1_CHM13,gatk-haplotype,Indels,fp,2249
CHM1_CHM13,gatk-haplotype,SNPs,fn,5147
CHM1_CHM13,gatk-haplotype,Indels,fn,8726
CHM1_CHM13,strelka2,SNPs,tp,220170
CHM1_CHM13,strelka2,Indels,tp,25196
CHM1_CHM13,strelka2,SNPs,fp,1589
CHM1_CHM13,strelka2,Indels,fp,1865
CHM1_CHM13,strelka2,SNPs,fn,8020
CHM1_CHM13,strelka2,Indels,fn,9399
CHM1_CHM13,freebayes,SNPs,tp,222958
CHM1_CHM13,freebayes,Indels,tp,23182
CHM1_CHM13,freebayes,SNPs,fp,3555
CHM1_CHM13,freebayes,Indels,fp,2585
CHM1_CHM13,freebayes,SNPs,fn,5232
CHM1_CHM13,freebayes,Indels,fn,11413
NA12878,strelka2,SNPs,tp,186375
NA12878,strelka2,Indels,tp,26482
NA12878,strelka2,SNPs,fp,512
NA12878,strelka2,Indels,fp,1483
NA12878,strelka2,SNPs,fn,4575
NA12878,strelka2,Indels,fn,1837
NA12878,deepvariant,SNPs,tp,189289
NA12878,deepvariant,Indels,tp,26245
NA12878,deepvariant,SNPs,fp,483
NA12878,deepvariant,Indels,fp,2952
NA12878,deepvariant,SNPs,fn,1661
NA12878,deepvariant,Indels,fn,2074
NA12878,gatk-haplotype,SNPs,tp,188703
NA12878,gatk-haplotype,Indels,tp,26578
NA12878,gatk-haplotype,SNPs,fp,717
NA12878,gatk-haplotype,Indels,fp,1572
NA12878,gatk-haplotype,SNPs,fn,2247
NA12878,gatk-haplotype,Indels,fn,1741
NA12878,freebayes,SNPs,tp,188752
NA12878,freebayes,Indels,tp,25456
NA12878,freebayes,SNPs,fp,1791
NA12878,freebayes,Indels,fp,2036
NA12878,freebayes,SNPs,fn,2198
NA12878,freebayes,Indels,fn,2863
