sample,caller,vtype,metric,value
NA12878,freebayes,SNPs,tp,2994258
NA12878,freebayes,Indels,tp,284349
NA12878,freebayes,SNPs,fp,6813
NA12878,freebayes,Indels,fp,10847
NA12878,freebayes,SNPs,fn,6672
NA12878,freebayes,Indels,fn,38325
NA12878,gatk4-haplotype,SNPs,tp,2983914
NA12878,gatk4-haplotype,Indels,tp,257653
NA12878,gatk4-haplotype,SNPs,fp,4780
NA12878,gatk4-haplotype,Indels,fp,2096
NA12878,gatk4-haplotype,SNPs,fn,5243
NA12878,gatk4-haplotype,Indels,fn,46629
NA12878,gatk4-haplotype-sor,SNPs,tp,2975527
NA12878,gatk4-haplotype-sor,Indels,tp,257647
NA12878,gatk4-haplotype-sor,SNPs,fp,2661
NA12878,gatk4-haplotype-sor,Indels,fp,2103
NA12878,gatk4-haplotype-sor,SNPs,fn,13630
NA12878,gatk4-haplotype-sor,Indels,fn,46635
NA12878,gatk3-haplotype,SNPs,tp,2992792
NA12878,gatk3-haplotype,Indels,tp,284086
NA12878,gatk3-haplotype,SNPs,fp,4340
NA12878,gatk3-haplotype,Indels,fp,13415
NA12878,gatk3-haplotype,SNPs,fn,8138
NA12878,gatk3-haplotype,Indels,fn,38588
NA12878,vardict,SNPs,tp,2976078
NA12878,vardict,Indels,tp,214028
NA12878,vardict,SNPs,fp,14004
NA12878,vardict,Indels,fp,18890
NA12878,vardict,SNPs,fn,13079
NA12878,vardict,Indels,fn,90254
NA12878,haplotyper,SNPs,tp,2981646
NA12878,haplotyper,Indels,tp,277097
NA12878,haplotyper,SNPs,fp,3964
NA12878,haplotyper,Indels,fp,10660
NA12878,haplotyper,SNPs,fn,7511
NA12878,haplotyper,Indels,fn,27185
