sample,caller,vtype,metric,value
NA12878,freebayes,SNPs,tp,2982876
NA12878,freebayes,Indels,tp,278771
NA12878,freebayes,SNPs,fp,5974
NA12878,freebayes,Indels,fp,8617
NA12878,freebayes,SNPs,fn,6281
NA12878,freebayes,Indels,fn,25511
NA12878,gatk4-haplotype-af,SNPs,tp,2981889
NA12878,gatk4-haplotype-af,Indels,tp,257400
NA12878,gatk4-haplotype-af,SNPs,fp,3626
NA12878,gatk4-haplotype-af,Indels,fp,1954
NA12878,gatk4-haplotype-af,SNPs,fn,7268
NA12878,gatk4-haplotype-af,Indels,fn,46882
NA12878,vardict,SNPs,tp,2976078
NA12878,vardict,Indels,tp,214028
NA12878,vardict,SNPs,fp,14004
NA12878,vardict,Indels,fp,18890
NA12878,vardict,SNPs,fn,13079
NA12878,vardict,Indels,fn,90254
NA12878,haplotyper-af,SNPs,tp,2979653
NA12878,haplotyper-af,Indels,tp,276901
NA12878,haplotyper-af,SNPs,fp,2919
NA12878,haplotyper-af,Indels,fp,10522
NA12878,haplotyper-af,SNPs,fn,9504
NA12878,haplotyper-af,Indels,fn,27381
NA12878,gatk4-haplotype,SNPs,tp,2983914
NA12878,gatk4-haplotype,Indels,tp,257653
NA12878,gatk4-haplotype,SNPs,fp,4780
NA12878,gatk4-haplotype,Indels,fp,2096
NA12878,gatk4-haplotype,SNPs,fn,5243
NA12878,gatk4-haplotype,Indels,fn,46629
NA12878,haplotyper,SNPs,tp,2981646
NA12878,haplotyper,Indels,tp,277097
NA12878,haplotyper,SNPs,fp,3964
NA12878,haplotyper,Indels,fp,10660
NA12878,haplotyper,SNPs,fn,7511
NA12878,haplotyper,Indels,fn,27185
