sample,caller,vtype,metric,value
NA24385,freebayes,SNPs,tp,2983915
NA24385,freebayes,Indels,tp,242564
NA24385,freebayes,SNPs,fp,25945
NA24385,freebayes,Indels,fp,6211
NA24385,freebayes,SNPs,fn,14504
NA24385,freebayes,Indels,fn,8882
NA24385,gatk4-haplotype-af,SNPs,tp,2977855
NA24385,gatk4-haplotype-af,Indels,tp,243956
NA24385,gatk4-haplotype-af,SNPs,fp,55660
NA24385,gatk4-haplotype-af,Indels,fp,45241
NA24385,gatk4-haplotype-af,SNPs,fn,20564
NA24385,gatk4-haplotype-af,Indels,fn,7490
NA24385,haplotyper-af,SNPs,tp,2977973
NA24385,haplotyper-af,Indels,tp,244179
NA24385,haplotyper-af,SNPs,fp,48130
NA24385,haplotyper-af,Indels,fp,40817
NA24385,haplotyper-af,SNPs,fn,20446
NA24385,haplotyper-af,Indels,fn,7267
NA24385,gatk4-haplotype,SNPs,tp,2982474
NA24385,gatk4-haplotype,Indels,tp,244527
NA24385,gatk4-haplotype,SNPs,fp,217181
NA24385,gatk4-haplotype,Indels,fp,184613
NA24385,gatk4-haplotype,SNPs,fn,15945
NA24385,gatk4-haplotype,Indels,fn,6919
NA24385,haplotyper,SNPs,tp,2982202
NA24385,haplotyper,Indels,tp,244677
NA24385,haplotyper,SNPs,fp,213322
NA24385,haplotyper,Indels,fp,184006
NA24385,haplotyper,SNPs,fn,16217
NA24385,haplotyper,Indels,fn,6769
