sample,caller,vtype,metric,value
NA24385,freebayes,SNPs,tp,2983915
NA24385,freebayes,Indels,tp,242564
NA24385,freebayes,SNPs,fp,25945
NA24385,freebayes,Indels,fp,6211
NA24385,freebayes,SNPs,fn,14504
NA24385,freebayes,Indels,fn,8882
NA24385,gatk3-haplotype,SNPs,tp,2982390
NA24385,gatk3-haplotype,Indels,tp,244864
NA24385,gatk3-haplotype,SNPs,fp,213977
NA24385,gatk3-haplotype,Indels,fp,185002
NA24385,gatk3-haplotype,SNPs,fn,16029
NA24385,gatk3-haplotype,Indels,fn,6582
NA24385,gatk4-haplotype,SNPs,tp,2982474
NA24385,gatk4-haplotype,Indels,tp,244527
NA24385,gatk4-haplotype,SNPs,fp,217181
NA24385,gatk4-haplotype,Indels,fp,184613
NA24385,gatk4-haplotype,SNPs,fn,15945
NA24385,gatk4-haplotype,Indels,fn,6919
NA24385,haplotyper,SNPs,tp,2982202
NA24385,haplotyper,Indels,tp,244677
NA24385,haplotyper,SNPs,fp,213322
NA24385,haplotyper,Indels,fp,184006
NA24385,haplotyper,SNPs,fn,16217
NA24385,haplotyper,Indels,fn,6769
