sample,caller,vtype,metric,value
NA24385,freebayes,SNPs,tp,2984308
NA24385,freebayes,Indels,tp,242794
NA24385,freebayes,SNPs,fp,25947
NA24385,freebayes,Indels,fp,6253
NA24385,freebayes,SNPs,fn,14093
NA24385,freebayes,Indels,fn,8652
NA24385,gatk4-haplotype-trim,SNPs,tp,2987711
NA24385,gatk4-haplotype-trim,Indels,tp,246177
NA24385,gatk4-haplotype-trim,SNPs,fp,119153
NA24385,gatk4-haplotype-trim,Indels,fp,95993
NA24385,gatk4-haplotype-trim,SNPs,fn,10690
NA24385,gatk4-haplotype-trim,Indels,fn,5269
NA24385,haplotyper-trim,SNPs,tp,2986806
NA24385,haplotyper-trim,Indels,tp,246447
NA24385,haplotyper-trim,SNPs,fp,119157
NA24385,haplotyper-trim,Indels,fp,97140
NA24385,haplotyper-trim,SNPs,fn,11595
NA24385,haplotyper-trim,Indels,fn,4999
NA24385,gatk4-haplotype-trim-af,SNPs,tp,2984342
NA24385,gatk4-haplotype-trim-af,Indels,tp,245861
NA24385,gatk4-haplotype-trim-af,SNPs,fp,26130
NA24385,gatk4-haplotype-trim-af,Indels,fp,18828
NA24385,gatk4-haplotype-trim-af,SNPs,fn,14059
NA24385,gatk4-haplotype-trim-af,Indels,fn,5585
NA24385,haplotyper-trim-af,SNPs,tp,2983529
NA24385,haplotyper-trim-af,Indels,tp,246166
NA24385,haplotyper-trim-af,SNPs,fp,21405
NA24385,haplotyper-trim-af,Indels,fp,14808
NA24385,haplotyper-trim-af,SNPs,fn,14872
NA24385,haplotyper-trim-af,Indels,fn,5280
