sample,caller,vtype,metric,value
DREAM synthetic 4 (hg38),mutect2,SNPs,tp,8797
DREAM synthetic 4 (hg38),mutect2,Indels,tp,7657
DREAM synthetic 4 (hg38),mutect2,SNPs,fp,1279
DREAM synthetic 4 (hg38),mutect2,Indels,fp,744
DREAM synthetic 4 (hg38),mutect2,SNPs,fn,2821
DREAM synthetic 4 (hg38),mutect2,Indels,fn,2396
DREAM synthetic 4 (hg38),tnscope,SNPs,tp,8799
DREAM synthetic 4 (hg38),tnscope,Indels,tp,7801
DREAM synthetic 4 (hg38),tnscope,SNPs,fp,1300
DREAM synthetic 4 (hg38),tnscope,Indels,fp,980
DREAM synthetic 4 (hg38),tnscope,SNPs,fn,2819
DREAM synthetic 4 (hg38),tnscope,Indels,fn,2252
DREAM synthetic 4 (hg38),vardict,SNPs,tp,9128
DREAM synthetic 4 (hg38),vardict,Indels,tp,7979
DREAM synthetic 4 (hg38),vardict,SNPs,fp,1851
DREAM synthetic 4 (hg38),vardict,Indels,fp,1892
DREAM synthetic 4 (hg38),vardict,SNPs,fn,2490
DREAM synthetic 4 (hg38),vardict,Indels,fn,2074
DREAM synthetic 4 (hg38),freebayes,SNPs,tp,6444
DREAM synthetic 4 (hg38),freebayes,Indels,tp,3324
DREAM synthetic 4 (hg38),freebayes,SNPs,fp,4334
DREAM synthetic 4 (hg38),freebayes,Indels,fp,1218
DREAM synthetic 4 (hg38),freebayes,SNPs,fn,5174
DREAM synthetic 4 (hg38),freebayes,Indels,fn,6729
