samplename,description,logconcentration
SRR1544075,SRR1544075,-8.57
SRR1548811,SRR1548811,-8.57
SRR1659951,SRR1659951,-3.47
SRR1659952,SRR1659952,-4.17
SRR1659953,SRR1659953,-4.87
SRR1659954,SRR1659954,-5.57
SRR1659955,SRR1659955,-6.17
SRR1659956,SRR1659956,-6.57
SRR1659957,SRR1659957,-6.87
SRR1659958,SRR1659958,-7.17
SRR1659959,SRR1659959,-5.87
SRR1659960,SRR1659960,-3.47
SRR1659961,SRR1659961,-4.17
SRR1659962,SRR1659962,-4.87
SRR1659963,SRR1659963,-5.57
SRR1659964,SRR1659964,-6.17
SRR1659965,SRR1659965,-6.57
SRR1659966,SRR1659966,-6.87
SRR1659967,SRR1659967,-7.17
SRR1659968,SRR1659968,-5.87
