study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA252360	SAMN02848777	SRS639783	SRX587794	SRR1544075	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/005/SRR1544075/SRR1544075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/005/SRR1544075/SRR1544075_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/005/SRR1544075/SRR1544075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/005/SRR1544075/SRR1544075_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR154/005/SRR1544075	ftp.sra.ebi.ac.uk/vol1/srr/SRR154/005/SRR1544075		
PRJNA252360	SAMN02848777	SRS639783	SRX765617	SRR1548811	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/001/SRR1548811/SRR1548811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/001/SRR1548811/SRR1548811_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/001/SRR1548811/SRR1548811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/001/SRR1548811/SRR1548811_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR154/001/SRR1548811	ftp.sra.ebi.ac.uk/vol1/srr/SRR154/001/SRR1548811		
PRJNA252360	SAMN02848786	SRS639793	SRX765626	SRR1659951	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/001/SRR1659951/SRR1659951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/001/SRR1659951/SRR1659951_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/001/SRR1659951/SRR1659951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/001/SRR1659951/SRR1659951_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/001/SRR1659951	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/001/SRR1659951		
PRJNA252360	SAMN02848785	SRS639792	SRX765625	SRR1659952	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/002/SRR1659952/SRR1659952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/002/SRR1659952/SRR1659952_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/002/SRR1659952/SRR1659952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/002/SRR1659952/SRR1659952_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/002/SRR1659952	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/002/SRR1659952		
PRJNA252360	SAMN02848784	SRS639791	SRX765624	SRR1659953	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/003/SRR1659953/SRR1659953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/003/SRR1659953/SRR1659953_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/003/SRR1659953/SRR1659953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/003/SRR1659953/SRR1659953_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/003/SRR1659953	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/003/SRR1659953		
PRJNA252360	SAMN02848783	SRS639790	SRX765623	SRR1659954	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1659954/SRR1659954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1659954/SRR1659954_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1659954/SRR1659954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1659954/SRR1659954_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/004/SRR1659954	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/004/SRR1659954		
PRJNA252360	SAMN02848781	SRS661773	SRX765621	SRR1659955	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/005/SRR1659955/SRR1659955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/005/SRR1659955/SRR1659955_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/005/SRR1659955/SRR1659955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/005/SRR1659955/SRR1659955_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/005/SRR1659955	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/005/SRR1659955		
PRJNA252360	SAMN02848780	SRS639788	SRX765620	SRR1659956	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/006/SRR1659956/SRR1659956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/006/SRR1659956/SRR1659956_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/006/SRR1659956/SRR1659956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/006/SRR1659956/SRR1659956_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/006/SRR1659956	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/006/SRR1659956		
PRJNA252360	SAMN02848779	SRS639787	SRX765619	SRR1659957	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/007/SRR1659957/SRR1659957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/007/SRR1659957/SRR1659957_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/007/SRR1659957/SRR1659957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/007/SRR1659957/SRR1659957_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/007/SRR1659957	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/007/SRR1659957		
PRJNA252360	SAMN02848778	SRS639786	SRX765618	SRR1659958	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1659958/SRR1659958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1659958/SRR1659958_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1659958/SRR1659958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1659958/SRR1659958_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/008/SRR1659958	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/008/SRR1659958		
PRJNA252360	SAMN02848782	SRS639789	SRX765622	SRR1659959	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/009/SRR1659959/SRR1659959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/009/SRR1659959/SRR1659959_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/009/SRR1659959/SRR1659959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/009/SRR1659959/SRR1659959_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/009/SRR1659959	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/009/SRR1659959		
PRJNA252360	SAMN02848786	SRS639793	SRX608329	SRR1659960	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/000/SRR1659960/SRR1659960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/000/SRR1659960/SRR1659960_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/000/SRR1659960/SRR1659960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/000/SRR1659960/SRR1659960_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/000/SRR1659960	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/000/SRR1659960		
PRJNA252360	SAMN02848785	SRS639792	SRX608328	SRR1659961	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/001/SRR1659961/SRR1659961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/001/SRR1659961/SRR1659961_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/001/SRR1659961/SRR1659961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/001/SRR1659961/SRR1659961_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/001/SRR1659961	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/001/SRR1659961		
PRJNA252360	SAMN02848784	SRS639791	SRX608327	SRR1659962	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/002/SRR1659962/SRR1659962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/002/SRR1659962/SRR1659962_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/002/SRR1659962/SRR1659962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/002/SRR1659962/SRR1659962_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR165/002/SRR1659962	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/002/SRR1659962		
