sample,caller,vtype,metric,value
NA12877-12pct,vardict,SNPs,tp,69
NA12877-12pct,vardict,Indels,tp,29
NA12877-12pct,vardict,SNPs,fp,24
NA12877-12pct,vardict,Indels,fp,16
NA12877-12pct,vardict,SNPs,fn,33
NA12877-12pct,vardict,Indels,fn,44
NA12877-12pct,freebayes,SNPs,tp,73
NA12877-12pct,freebayes,Indels,tp,29
NA12877-12pct,freebayes,SNPs,fp,25
NA12877-12pct,freebayes,Indels,fp,18
NA12877-12pct,freebayes,SNPs,fn,29
NA12877-12pct,freebayes,Indels,fn,44
NA12877-12pct,pisces,SNPs,tp,80
NA12877-12pct,pisces,Indels,tp,40
NA12877-12pct,pisces,SNPs,fp,16
NA12877-12pct,pisces,Indels,fp,8
NA12877-12pct,pisces,SNPs,fn,22
NA12877-12pct,pisces,Indels,fn,33
NA12878-12pct,vardict,SNPs,tp,23
NA12878-12pct,vardict,Indels,tp,33
NA12878-12pct,vardict,SNPs,fp,20
NA12878-12pct,vardict,Indels,fp,12
NA12878-12pct,vardict,SNPs,fn,79
NA12878-12pct,vardict,Indels,fn,40
NA12878-12pct,freebayes,SNPs,tp,32
NA12878-12pct,freebayes,Indels,tp,34
NA12878-12pct,freebayes,SNPs,fp,23
NA12878-12pct,freebayes,Indels,fp,24
NA12878-12pct,freebayes,SNPs,fn,70
NA12878-12pct,freebayes,Indels,fn,39
NA12878-12pct,pisces,SNPs,tp,42
NA12878-12pct,pisces,Indels,tp,42
NA12878-12pct,pisces,SNPs,fp,11
NA12878-12pct,pisces,Indels,fp,3
NA12878-12pct,pisces,SNPs,fn,60
NA12878-12pct,pisces,Indels,fn,31
NA12877-16pct,vardict,SNPs,tp,64
NA12877-16pct,vardict,Indels,tp,31
NA12877-16pct,vardict,SNPs,fp,17
NA12877-16pct,vardict,Indels,fp,12
NA12877-16pct,vardict,SNPs,fn,38
NA12877-16pct,vardict,Indels,fn,42
NA12877-16pct,freebayes,SNPs,tp,78
NA12877-16pct,freebayes,Indels,tp,32
NA12877-16pct,freebayes,SNPs,fp,17
NA12877-16pct,freebayes,Indels,fp,15
NA12877-16pct,freebayes,SNPs,fn,24
NA12877-16pct,freebayes,Indels,fn,41
NA12877-16pct,pisces,SNPs,tp,79
NA12877-16pct,pisces,Indels,tp,39
NA12877-16pct,pisces,SNPs,fp,14
NA12877-16pct,pisces,Indels,fp,5
NA12877-16pct,pisces,SNPs,fn,23
NA12877-16pct,pisces,Indels,fn,34
NA12878-16pct,vardict,SNPs,tp,20
NA12878-16pct,vardict,Indels,tp,38
NA12878-16pct,vardict,SNPs,fp,23
NA12878-16pct,vardict,Indels,fp,10
NA12878-16pct,vardict,SNPs,fn,80
NA12878-16pct,vardict,Indels,fn,34
NA12878-16pct,freebayes,SNPs,tp,33
NA12878-16pct,freebayes,Indels,tp,37
NA12878-16pct,freebayes,SNPs,fp,50
NA12878-16pct,freebayes,Indels,fp,19
NA12878-16pct,freebayes,SNPs,fn,67
NA12878-16pct,freebayes,Indels,fn,35
NA12878-16pct,pisces,SNPs,tp,27
NA12878-16pct,pisces,Indels,tp,36
NA12878-16pct,pisces,SNPs,fp,11
NA12878-16pct,pisces,Indels,fp,5
NA12878-16pct,pisces,SNPs,fn,73
NA12878-16pct,pisces,Indels,fn,36
NA12877-08pct,vardict,SNPs,tp,64
NA12877-08pct,vardict,Indels,tp,28
NA12877-08pct,vardict,SNPs,fp,30
NA12877-08pct,vardict,Indels,fp,16
NA12877-08pct,vardict,SNPs,fn,38
NA12877-08pct,vardict,Indels,fn,45
NA12877-08pct,freebayes,SNPs,tp,79
NA12877-08pct,freebayes,Indels,tp,31
NA12877-08pct,freebayes,SNPs,fp,35
NA12877-08pct,freebayes,Indels,fp,15
NA12877-08pct,freebayes,SNPs,fn,23
NA12877-08pct,freebayes,Indels,fn,42
NA12877-08pct,pisces,SNPs,tp,80
NA12877-08pct,pisces,Indels,tp,38
NA12877-08pct,pisces,SNPs,fp,19
NA12877-08pct,pisces,Indels,fp,7
NA12877-08pct,pisces,SNPs,fn,22
NA12877-08pct,pisces,Indels,fn,35
NA12878-08pct,vardict,SNPs,tp,23
NA12878-08pct,vardict,Indels,tp,35
NA12878-08pct,vardict,SNPs,fp,25
NA12878-08pct,vardict,Indels,fp,16
NA12878-08pct,vardict,SNPs,fn,79
NA12878-08pct,vardict,Indels,fn,38
NA12878-08pct,freebayes,SNPs,tp,30
NA12878-08pct,freebayes,Indels,tp,37
NA12878-08pct,freebayes,SNPs,fp,22
NA12878-08pct,freebayes,Indels,fp,16
NA12878-08pct,freebayes,SNPs,fn,72
NA12878-08pct,freebayes,Indels,fn,36
NA12878-08pct,pisces,SNPs,tp,32
NA12878-08pct,pisces,Indels,tp,45
NA12878-08pct,pisces,SNPs,fp,15
NA12878-08pct,pisces,Indels,fp,8
NA12878-08pct,pisces,SNPs,fn,70
NA12878-08pct,pisces,Indels,fn,28
