sample,caller,vtype,metric,value
NA12877-12pct,vardict,SNPs,tp,86
NA12877-12pct,vardict,Indels,tp,41
NA12877-12pct,vardict,SNPs,fp,8
NA12877-12pct,vardict,Indels,fp,4
NA12877-12pct,vardict,SNPs,fn,16
NA12877-12pct,vardict,Indels,fn,32
NA12877-12pct,freebayes,SNPs,tp,88
NA12877-12pct,freebayes,Indels,tp,42
NA12877-12pct,freebayes,SNPs,fp,10
NA12877-12pct,freebayes,Indels,fp,5
NA12877-12pct,freebayes,SNPs,fn,14
NA12877-12pct,freebayes,Indels,fn,31
NA12877-12pct,pisces,SNPs,tp,90
NA12877-12pct,pisces,Indels,tp,45
NA12877-12pct,pisces,SNPs,fp,6
NA12877-12pct,pisces,Indels,fp,3
NA12877-12pct,pisces,SNPs,fn,12
NA12877-12pct,pisces,Indels,fn,28
NA12878-12pct,vardict,SNPs,tp,40
NA12878-12pct,vardict,Indels,tp,43
NA12878-12pct,vardict,SNPs,fp,3
NA12878-12pct,vardict,Indels,fp,2
NA12878-12pct,vardict,SNPs,fn,62
NA12878-12pct,vardict,Indels,fn,30
NA12878-12pct,freebayes,SNPs,tp,47
NA12878-12pct,freebayes,Indels,tp,44
NA12878-12pct,freebayes,SNPs,fp,8
NA12878-12pct,freebayes,Indels,fp,14
NA12878-12pct,freebayes,SNPs,fn,55
NA12878-12pct,freebayes,Indels,fn,29
NA12878-12pct,pisces,SNPs,tp,51
NA12878-12pct,pisces,Indels,tp,44
NA12878-12pct,pisces,SNPs,fp,2
NA12878-12pct,pisces,Indels,fp,1
NA12878-12pct,pisces,SNPs,fn,51
NA12878-12pct,pisces,Indels,fn,29
NA12877-16pct,vardict,SNPs,tp,77
NA12877-16pct,vardict,Indels,tp,39
NA12877-16pct,vardict,SNPs,fp,4
NA12877-16pct,vardict,Indels,fp,4
NA12877-16pct,vardict,SNPs,fn,25
NA12877-16pct,vardict,Indels,fn,34
NA12877-16pct,freebayes,SNPs,tp,85
NA12877-16pct,freebayes,Indels,tp,40
NA12877-16pct,freebayes,SNPs,fp,9
NA12877-16pct,freebayes,Indels,fp,8
NA12877-16pct,freebayes,SNPs,fn,17
NA12877-16pct,freebayes,Indels,fn,33
NA12877-16pct,pisces,SNPs,tp,86
NA12877-16pct,pisces,Indels,tp,42
NA12877-16pct,pisces,SNPs,fp,7
NA12877-16pct,pisces,Indels,fp,2
NA12877-16pct,pisces,SNPs,fn,16
NA12877-16pct,pisces,Indels,fn,31
NA12878-16pct,vardict,SNPs,tp,36
NA12878-16pct,vardict,Indels,tp,44
NA12878-16pct,vardict,SNPs,fp,7
NA12878-16pct,vardict,Indels,fp,4
NA12878-16pct,vardict,SNPs,fn,64
NA12878-16pct,vardict,Indels,fn,28
NA12878-16pct,freebayes,SNPs,tp,45
NA12878-16pct,freebayes,Indels,tp,46
NA12878-16pct,freebayes,SNPs,fp,38
NA12878-16pct,freebayes,Indels,fp,10
NA12878-16pct,freebayes,SNPs,fn,55
NA12878-16pct,freebayes,Indels,fn,26
NA12878-16pct,pisces,SNPs,tp,36
NA12878-16pct,pisces,Indels,tp,38
NA12878-16pct,pisces,SNPs,fp,2
NA12878-16pct,pisces,Indels,fp,3
NA12878-16pct,pisces,SNPs,fn,64
NA12878-16pct,pisces,Indels,fn,34
NA12877-08pct,vardict,SNPs,tp,82
NA12877-08pct,vardict,Indels,tp,41
NA12877-08pct,vardict,SNPs,fp,13
NA12877-08pct,vardict,Indels,fp,3
NA12877-08pct,vardict,SNPs,fn,20
NA12877-08pct,vardict,Indels,fn,32
NA12877-08pct,freebayes,SNPs,tp,92
NA12877-08pct,freebayes,Indels,tp,43
NA12877-08pct,freebayes,SNPs,fp,22
NA12877-08pct,freebayes,Indels,fp,3
NA12877-08pct,freebayes,SNPs,fn,10
NA12877-08pct,freebayes,Indels,fn,30
NA12877-08pct,pisces,SNPs,tp,92
NA12877-08pct,pisces,Indels,tp,42
NA12877-08pct,pisces,SNPs,fp,7
NA12877-08pct,pisces,Indels,fp,3
NA12877-08pct,pisces,SNPs,fn,10
NA12877-08pct,pisces,Indels,fn,31
NA12878-08pct,vardict,SNPs,tp,39
NA12878-08pct,vardict,Indels,tp,47
NA12878-08pct,vardict,SNPs,fp,9
NA12878-08pct,vardict,Indels,fp,4
NA12878-08pct,vardict,SNPs,fn,63
NA12878-08pct,vardict,Indels,fn,26
NA12878-08pct,freebayes,SNPs,tp,41
NA12878-08pct,freebayes,Indels,tp,48
NA12878-08pct,freebayes,SNPs,fp,11
NA12878-08pct,freebayes,Indels,fp,5
NA12878-08pct,freebayes,SNPs,fn,61
NA12878-08pct,freebayes,Indels,fn,25
NA12878-08pct,pisces,SNPs,tp,41
NA12878-08pct,pisces,Indels,tp,48
NA12878-08pct,pisces,SNPs,fp,6
NA12878-08pct,pisces,Indels,fp,5
NA12878-08pct,pisces,SNPs,fn,61
NA12878-08pct,pisces,Indels,fn,25
