sample,caller,vtype,metric,value
M0253,ensemble,SNPs,tp,23
M0253,ensemble,Indels,tp,0
M0253,ensemble,SNPs,fp,45
M0253,ensemble,Indels,fp,2
M0253,ensemble,SNPs,fn,10
M0253,ensemble,Indels,fn,3
M0253,mutect2,SNPs,tp,10
M0253,mutect2,Indels,tp,0
M0253,mutect2,SNPs,fp,36
M0253,mutect2,Indels,fp,0
M0253,mutect2,SNPs,fn,23
M0253,mutect2,Indels,fn,3
M0253,octopus,SNPs,tp,0
M0253,octopus,Indels,tp,0
M0253,octopus,SNPs,fp,8
M0253,octopus,Indels,fp,0
M0253,octopus,SNPs,fn,33
M0253,octopus,Indels,fn,3
M0253,freebayes,SNPs,tp,17
M0253,freebayes,Indels,tp,0
M0253,freebayes,SNPs,fp,50
M0253,freebayes,Indels,fp,2
M0253,freebayes,SNPs,fn,16
M0253,freebayes,Indels,fn,3
M0253,pisces,SNPs,tp,23
M0253,pisces,Indels,tp,0
M0253,pisces,SNPs,fp,47
M0253,pisces,Indels,fp,3
M0253,pisces,SNPs,fn,10
M0253,pisces,Indels,fn,3
M0253,vardict,SNPs,tp,23
M0253,vardict,Indels,tp,0
M0253,vardict,SNPs,fp,40
M0253,vardict,Indels,fp,4
M0253,vardict,SNPs,fn,10
M0253,vardict,Indels,fn,3
N0261,ensemble,SNPs,tp,4
N0261,ensemble,Indels,tp,193
N0261,ensemble,SNPs,fp,159
N0261,ensemble,Indels,fp,106
N0261,ensemble,SNPs,fn,1
N0261,ensemble,Indels,fn,74
N0261,pisces,SNPs,tp,4
N0261,pisces,Indels,tp,163
N0261,pisces,SNPs,fp,262
N0261,pisces,Indels,fp,55
N0261,pisces,SNPs,fn,1
N0261,pisces,Indels,fn,104
N0261,vardict,SNPs,tp,4
N0261,vardict,Indels,tp,189
N0261,vardict,SNPs,fp,101
N0261,vardict,Indels,fp,139
N0261,vardict,SNPs,fn,1
N0261,vardict,Indels,fn,78
N0261,octopus,SNPs,tp,0
N0261,octopus,Indels,tp,1
N0261,octopus,SNPs,fp,0
N0261,octopus,Indels,fp,3
N0261,octopus,SNPs,fn,5
N0261,octopus,Indels,fn,266
N0261,freebayes,SNPs,tp,3
N0261,freebayes,Indels,tp,142
N0261,freebayes,SNPs,fp,271
N0261,freebayes,Indels,fp,115
N0261,freebayes,SNPs,fn,2
N0261,freebayes,Indels,fn,125
N0261,mutect2,SNPs,tp,2
N0261,mutect2,Indels,tp,108
N0261,mutect2,SNPs,fp,12
N0261,mutect2,Indels,fp,22
N0261,mutect2,SNPs,fn,3
N0261,mutect2,Indels,fn,159
N13532,ensemble,SNPs,tp,258
N13532,ensemble,Indels,tp,107
N13532,ensemble,SNPs,fp,1917
N13532,ensemble,Indels,fp,328
N13532,ensemble,SNPs,fn,35
N13532,ensemble,Indels,fn,56
N13532,freebayes,SNPs,tp,238
N13532,freebayes,Indels,tp,80
N13532,freebayes,SNPs,fp,2394
N13532,freebayes,Indels,fp,262
N13532,freebayes,SNPs,fn,55
N13532,freebayes,Indels,fn,83
N13532,mutect2,SNPs,tp,226
N13532,mutect2,Indels,tp,55
N13532,mutect2,SNPs,fp,787
N13532,mutect2,Indels,fp,144
N13532,mutect2,SNPs,fn,67
N13532,mutect2,Indels,fn,108
N13532,pisces,SNPs,tp,257
N13532,pisces,Indels,tp,90
N13532,pisces,SNPs,fp,2463
N13532,pisces,Indels,fp,258
N13532,pisces,SNPs,fn,36
N13532,pisces,Indels,fn,73
N13532,octopus,SNPs,tp,0
N13532,octopus,Indels,tp,0
N13532,octopus,SNPs,fp,240
N13532,octopus,Indels,fp,31
N13532,octopus,SNPs,fn,293
N13532,octopus,Indels,fn,163
N13532,vardict,SNPs,tp,258
N13532,vardict,Indels,tp,115
N13532,vardict,SNPs,fp,1325
N13532,vardict,Indels,fp,430
N13532,vardict,SNPs,fn,35
N13532,vardict,Indels,fn,48
