sample,caller,vtype,metric,value
M0253,ensemble,SNPs,tp,22
M0253,ensemble,Indels,tp,0
M0253,ensemble,SNPs,fp,55
M0253,ensemble,Indels,fp,3
M0253,ensemble,SNPs,fn,11
M0253,ensemble,Indels,fn,3
M0253,mutect2,SNPs,tp,8
M0253,mutect2,Indels,tp,0
M0253,mutect2,SNPs,fp,27
M0253,mutect2,Indels,fp,0
M0253,mutect2,SNPs,fn,25
M0253,mutect2,Indels,fn,3
M0253,octopus,SNPs,tp,0
M0253,octopus,Indels,tp,0
M0253,octopus,SNPs,fp,7
M0253,octopus,Indels,fp,0
M0253,octopus,SNPs,fn,33
M0253,octopus,Indels,fn,3
M0253,freebayes,SNPs,tp,16
M0253,freebayes,Indels,tp,0
M0253,freebayes,SNPs,fp,82
M0253,freebayes,Indels,fp,2
M0253,freebayes,SNPs,fn,17
M0253,freebayes,Indels,fn,3
M0253,pisces,SNPs,tp,22
M0253,pisces,Indels,tp,0
M0253,pisces,SNPs,fp,84
M0253,pisces,Indels,fp,4
M0253,pisces,SNPs,fn,11
M0253,pisces,Indels,fn,3
M0253,vardict,SNPs,tp,22
M0253,vardict,Indels,tp,0
M0253,vardict,SNPs,fp,46
M0253,vardict,Indels,fp,6
M0253,vardict,SNPs,fn,11
M0253,vardict,Indels,fn,3
N0261,ensemble,SNPs,tp,3
N0261,ensemble,Indels,tp,188
N0261,ensemble,SNPs,fp,257
N0261,ensemble,Indels,fp,112
N0261,ensemble,SNPs,fn,2
N0261,ensemble,Indels,fn,80
N0261,pisces,SNPs,tp,3
N0261,pisces,Indels,tp,161
N0261,pisces,SNPs,fp,462
N0261,pisces,Indels,fp,89
N0261,pisces,SNPs,fn,2
N0261,pisces,Indels,fn,107
N0261,vardict,SNPs,tp,3
N0261,vardict,Indels,tp,191
N0261,vardict,SNPs,fp,205
N0261,vardict,Indels,fp,166
N0261,vardict,SNPs,fn,2
N0261,vardict,Indels,fn,77
N0261,octopus,SNPs,tp,0
N0261,octopus,Indels,tp,1
N0261,octopus,SNPs,fp,1
N0261,octopus,Indels,fp,10
N0261,octopus,SNPs,fn,5
N0261,octopus,Indels,fn,267
N0261,freebayes,SNPs,tp,2
N0261,freebayes,Indels,tp,136
N0261,freebayes,SNPs,fp,588
N0261,freebayes,Indels,fp,101
N0261,freebayes,SNPs,fn,3
N0261,freebayes,Indels,fn,132
N0261,mutect2,SNPs,tp,2
N0261,mutect2,Indels,tp,111
N0261,mutect2,SNPs,fp,15
N0261,mutect2,Indels,fp,19
N0261,mutect2,SNPs,fn,3
N0261,mutect2,Indels,fn,157
N13532,ensemble,SNPs,tp,260
N13532,ensemble,Indels,tp,108
N13532,ensemble,SNPs,fp,2257
N13532,ensemble,Indels,fp,418
N13532,ensemble,SNPs,fn,33
N13532,ensemble,Indels,fn,55
N13532,freebayes,SNPs,tp,219
N13532,freebayes,Indels,tp,69
N13532,freebayes,SNPs,fp,2832
N13532,freebayes,Indels,fp,257
N13532,freebayes,SNPs,fn,74
N13532,freebayes,Indels,fn,94
N13532,mutect2,SNPs,tp,192
N13532,mutect2,Indels,tp,56
N13532,mutect2,SNPs,fp,769
N13532,mutect2,Indels,fp,156
N13532,mutect2,SNPs,fn,101
N13532,mutect2,Indels,fn,107
N13532,pisces,SNPs,tp,262
N13532,pisces,Indels,tp,87
N13532,pisces,SNPs,fp,4370
N13532,pisces,Indels,fp,431
N13532,pisces,SNPs,fn,31
N13532,pisces,Indels,fn,76
N13532,octopus,SNPs,tp,0
N13532,octopus,Indels,tp,1
N13532,octopus,SNPs,fp,242
N13532,octopus,Indels,fp,34
N13532,octopus,SNPs,fn,293
N13532,octopus,Indels,fn,162
N13532,vardict,SNPs,tp,259
N13532,vardict,Indels,tp,115
N13532,vardict,SNPs,fp,1545
N13532,vardict,Indels,fp,575
N13532,vardict,SNPs,fn,34
N13532,vardict,Indels,fn,48
