sample,caller,vtype,metric,value
M0253,ensemble,SNPs,tp,23
M0253,ensemble,Indels,tp,0
M0253,ensemble,SNPs,fp,44
M0253,ensemble,Indels,fp,2
M0253,ensemble,SNPs,fn,10
M0253,ensemble,Indels,fn,3
M0253,mutect2,SNPs,tp,9
M0253,mutect2,Indels,tp,0
M0253,mutect2,SNPs,fp,35
M0253,mutect2,Indels,fp,0
M0253,mutect2,SNPs,fn,24
M0253,mutect2,Indels,fn,3
M0253,octopus,SNPs,tp,0
M0253,octopus,Indels,tp,0
M0253,octopus,SNPs,fp,6
M0253,octopus,Indels,fp,0
M0253,octopus,SNPs,fn,33
M0253,octopus,Indels,fn,3
M0253,freebayes,SNPs,tp,18
M0253,freebayes,Indels,tp,0
M0253,freebayes,SNPs,fp,52
M0253,freebayes,Indels,fp,2
M0253,freebayes,SNPs,fn,15
M0253,freebayes,Indels,fn,3
M0253,pisces,SNPs,tp,23
M0253,pisces,Indels,tp,0
M0253,pisces,SNPs,fp,50
M0253,pisces,Indels,fp,3
M0253,pisces,SNPs,fn,10
M0253,pisces,Indels,fn,3
M0253,vardict,SNPs,tp,23
M0253,vardict,Indels,tp,0
M0253,vardict,SNPs,fp,41
M0253,vardict,Indels,fp,5
M0253,vardict,SNPs,fn,10
M0253,vardict,Indels,fn,3
N0261,ensemble,SNPs,tp,4
N0261,ensemble,Indels,tp,192
N0261,ensemble,SNPs,fp,179
N0261,ensemble,Indels,fp,116
N0261,ensemble,SNPs,fn,1
N0261,ensemble,Indels,fn,75
N0261,pisces,SNPs,tp,4
N0261,pisces,Indels,tp,164
N0261,pisces,SNPs,fp,335
N0261,pisces,Indels,fp,54
N0261,pisces,SNPs,fn,1
N0261,pisces,Indels,fn,103
N0261,vardict,SNPs,tp,4
N0261,vardict,Indels,tp,193
N0261,vardict,SNPs,fp,173
N0261,vardict,Indels,fp,157
N0261,vardict,SNPs,fn,1
N0261,vardict,Indels,fn,74
N0261,octopus,SNPs,tp,0
N0261,octopus,Indels,tp,2
N0261,octopus,SNPs,fp,1
N0261,octopus,Indels,fp,3
N0261,octopus,SNPs,fn,5
N0261,octopus,Indels,fn,265
N0261,freebayes,SNPs,tp,3
N0261,freebayes,Indels,tp,147
N0261,freebayes,SNPs,fp,243
N0261,freebayes,Indels,fp,121
N0261,freebayes,SNPs,fn,2
N0261,freebayes,Indels,fn,120
N0261,mutect2,SNPs,tp,1
N0261,mutect2,Indels,tp,93
N0261,mutect2,SNPs,fp,16
N0261,mutect2,Indels,fp,24
N0261,mutect2,SNPs,fn,4
N0261,mutect2,Indels,fn,174
N13532,ensemble,SNPs,tp,259
N13532,ensemble,Indels,tp,109
N13532,ensemble,SNPs,fp,2027
N13532,ensemble,Indels,fp,344
N13532,ensemble,SNPs,fn,34
N13532,ensemble,Indels,fn,54
N13532,freebayes,SNPs,tp,237
N13532,freebayes,Indels,tp,81
N13532,freebayes,SNPs,fp,2407
N13532,freebayes,Indels,fp,277
N13532,freebayes,SNPs,fn,56
N13532,freebayes,Indels,fn,82
N13532,mutect2,SNPs,tp,209
N13532,mutect2,Indels,tp,54
N13532,mutect2,SNPs,fp,763
N13532,mutect2,Indels,fp,131
N13532,mutect2,SNPs,fn,84
N13532,mutect2,Indels,fn,109
N13532,pisces,SNPs,tp,258
N13532,pisces,Indels,tp,93
N13532,pisces,SNPs,fp,2718
N13532,pisces,Indels,fp,249
N13532,pisces,SNPs,fn,35
N13532,pisces,Indels,fn,70
N13532,octopus,SNPs,tp,0
N13532,octopus,Indels,tp,0
N13532,octopus,SNPs,fp,214
N13532,octopus,Indels,fp,23
N13532,octopus,SNPs,fn,293
N13532,octopus,Indels,fn,163
N13532,vardict,SNPs,tp,257
N13532,vardict,Indels,tp,113
N13532,vardict,SNPs,fp,1549
N13532,vardict,Indels,fp,440
N13532,vardict,SNPs,fn,36
N13532,vardict,Indels,fn,50
