sample,caller,vtype,metric,value
M0253,ensemble,SNPs,tp,23
M0253,ensemble,Indels,tp,0
M0253,ensemble,SNPs,fp,39
M0253,ensemble,Indels,fp,2
M0253,ensemble,SNPs,fn,10
M0253,ensemble,Indels,fn,3
M0253,mutect2,SNPs,tp,13
M0253,mutect2,Indels,tp,0
M0253,mutect2,SNPs,fp,32
M0253,mutect2,Indels,fp,1
M0253,mutect2,SNPs,fn,20
M0253,mutect2,Indels,fn,3
M0253,octopus,SNPs,tp,0
M0253,octopus,Indels,tp,0
M0253,octopus,SNPs,fp,7
M0253,octopus,Indels,fp,0
M0253,octopus,SNPs,fn,33
M0253,octopus,Indels,fn,3
M0253,freebayes,SNPs,tp,16
M0253,freebayes,Indels,tp,0
M0253,freebayes,SNPs,fp,62
M0253,freebayes,Indels,fp,2
M0253,freebayes,SNPs,fn,17
M0253,freebayes,Indels,fn,3
M0253,pisces,SNPs,tp,23
M0253,pisces,Indels,tp,0
M0253,pisces,SNPs,fp,41
M0253,pisces,Indels,fp,3
M0253,pisces,SNPs,fn,10
M0253,pisces,Indels,fn,3
M0253,vardict,SNPs,tp,22
M0253,vardict,Indels,tp,0
M0253,vardict,SNPs,fp,37
M0253,vardict,Indels,fp,4
M0253,vardict,SNPs,fn,11
M0253,vardict,Indels,fn,3
N0261,ensemble,SNPs,tp,4
N0261,ensemble,Indels,tp,188
N0261,ensemble,SNPs,fp,173
N0261,ensemble,Indels,fp,86
N0261,ensemble,SNPs,fn,1
N0261,ensemble,Indels,fn,80
N0261,pisces,SNPs,tp,4
N0261,pisces,Indels,tp,155
N0261,pisces,SNPs,fp,306
N0261,pisces,Indels,fp,61
N0261,pisces,SNPs,fn,1
N0261,pisces,Indels,fn,113
N0261,vardict,SNPs,tp,4
N0261,vardict,Indels,tp,185
N0261,vardict,SNPs,fp,98
N0261,vardict,Indels,fp,114
N0261,vardict,SNPs,fn,1
N0261,vardict,Indels,fn,83
N0261,octopus,SNPs,tp,0
N0261,octopus,Indels,tp,0
N0261,octopus,SNPs,fp,1
N0261,octopus,Indels,fp,3
N0261,octopus,SNPs,fn,5
N0261,octopus,Indels,fn,268
N0261,freebayes,SNPs,tp,2
N0261,freebayes,Indels,tp,144
N0261,freebayes,SNPs,fp,373
N0261,freebayes,Indels,fp,95
N0261,freebayes,SNPs,fn,3
N0261,freebayes,Indels,fn,124
N0261,mutect2,SNPs,tp,2
N0261,mutect2,Indels,tp,122
N0261,mutect2,SNPs,fp,14
N0261,mutect2,Indels,fp,22
N0261,mutect2,SNPs,fn,3
N0261,mutect2,Indels,fn,146
N13532,ensemble,SNPs,tp,252
N13532,ensemble,Indels,tp,105
N13532,ensemble,SNPs,fp,1665
N13532,ensemble,Indels,fp,255
N13532,ensemble,SNPs,fn,41
N13532,ensemble,Indels,fn,58
N13532,freebayes,SNPs,tp,230
N13532,freebayes,Indels,tp,80
N13532,freebayes,SNPs,fp,2062
N13532,freebayes,Indels,fp,222
N13532,freebayes,SNPs,fn,63
N13532,freebayes,Indels,fn,83
N13532,mutect2,SNPs,tp,231
N13532,mutect2,Indels,tp,55
N13532,mutect2,SNPs,fp,824
N13532,mutect2,Indels,fp,131
N13532,mutect2,SNPs,fn,62
N13532,mutect2,Indels,fn,108
N13532,pisces,SNPs,tp,252
N13532,pisces,Indels,tp,88
N13532,pisces,SNPs,fp,2443
N13532,pisces,Indels,fp,216
N13532,pisces,SNPs,fn,41
N13532,pisces,Indels,fn,75
N13532,octopus,SNPs,tp,0
N13532,octopus,Indels,tp,0
N13532,octopus,SNPs,fp,240
N13532,octopus,Indels,fp,24
N13532,octopus,SNPs,fn,293
N13532,octopus,Indels,fn,163
N13532,vardict,SNPs,tp,249
N13532,vardict,Indels,tp,106
N13532,vardict,SNPs,fp,1187
N13532,vardict,Indels,fp,336
N13532,vardict,SNPs,fn,44
N13532,vardict,Indels,fn,57
