sample,caller,vtype,metric,value
M0253,freebayes,SNPs,tp,3
M0253,freebayes,Indels,tp,0
M0253,freebayes,SNPs,fp,22
M0253,freebayes,Indels,fp,1
M0253,freebayes,SNPs,fn,30
M0253,freebayes,Indels,fn,3
M0253,pisces,SNPs,tp,5
M0253,pisces,Indels,tp,0
M0253,pisces,SNPs,fp,30
M0253,pisces,Indels,fp,2
M0253,pisces,SNPs,fn,28
M0253,pisces,Indels,fn,3
M0253,vardict,SNPs,tp,18
M0253,vardict,Indels,tp,0
M0253,vardict,SNPs,fp,46
M0253,vardict,Indels,fp,6
M0253,vardict,SNPs,fn,15
M0253,vardict,Indels,fn,3
N0261,pisces,SNPs,tp,0
N0261,pisces,Indels,tp,6
N0261,pisces,SNPs,fp,73
N0261,pisces,Indels,fp,37
N0261,pisces,SNPs,fn,5
N0261,pisces,Indels,fn,263
N0261,vardict,SNPs,tp,3
N0261,vardict,Indels,tp,169
N0261,vardict,SNPs,fp,188
N0261,vardict,Indels,fp,216
N0261,vardict,SNPs,fn,2
N0261,vardict,Indels,fn,100
N0261,freebayes,SNPs,tp,0
N0261,freebayes,Indels,tp,7
N0261,freebayes,SNPs,fp,41
N0261,freebayes,Indels,fp,54
N0261,freebayes,SNPs,fn,5
N0261,freebayes,Indels,fn,262
N13532,freebayes,SNPs,tp,0
N13532,freebayes,Indels,tp,4
N13532,freebayes,SNPs,fp,813
N13532,freebayes,Indels,fp,107
N13532,freebayes,SNPs,fn,293
N13532,freebayes,Indels,fn,160
N13532,vardict,SNPs,tp,247
N13532,vardict,Indels,tp,114
N13532,vardict,SNPs,fp,1367
N13532,vardict,Indels,fp,637
N13532,vardict,SNPs,fn,46
N13532,vardict,Indels,fn,50
N13532,pisces,SNPs,tp,2
N13532,pisces,Indels,tp,4
N13532,pisces,SNPs,fp,1359
N13532,pisces,Indels,fp,107
N13532,pisces,SNPs,fn,291
N13532,pisces,Indels,fn,160
