sample,caller,vtype,metric,value
M0253,octopus,SNPs,tp,21
M0253,octopus,Indels,tp,0
M0253,octopus,SNPs,fp,34
M0253,octopus,Indels,fp,1
M0253,octopus,SNPs,fn,12
M0253,octopus,Indels,fn,3
M0253,vardict,SNPs,tp,26
M0253,vardict,Indels,tp,0
M0253,vardict,SNPs,fp,46
M0253,vardict,Indels,fp,4
M0253,vardict,SNPs,fn,7
M0253,vardict,Indels,fn,3
N0261,vardict,SNPs,tp,4
N0261,vardict,Indels,tp,215
N0261,vardict,SNPs,fp,119
N0261,vardict,Indels,fp,163
N0261,vardict,SNPs,fn,1
N0261,vardict,Indels,fn,52
N0261,octopus,SNPs,tp,2
N0261,octopus,Indels,tp,177
N0261,octopus,SNPs,fp,32
N0261,octopus,Indels,fp,88
N0261,octopus,SNPs,fn,3
N0261,octopus,Indels,fn,90
N13532,vardict,SNPs,tp,278
N13532,vardict,Indels,tp,127
N13532,vardict,SNPs,fp,1225
N13532,vardict,Indels,fp,616
N13532,vardict,SNPs,fn,12
N13532,vardict,Indels,fn,36
N13532,octopus,SNPs,tp,247
N13532,octopus,Indels,tp,98
N13532,octopus,SNPs,fp,965
N13532,octopus,Indels,fp,270
N13532,octopus,SNPs,fn,43
N13532,octopus,Indels,fn,65
