sample,caller,vtype,metric,value
atropos,vardict,SNPs,tp,61837
atropos,vardict,Indels,tp,4863
atropos,vardict,SNPs,fp,303
atropos,vardict,Indels,fp,223
atropos,vardict,SNPs,fn,4119
atropos,vardict,Indels,fn,1362
atropos,mutect2,SNPs,tp,57804
atropos,mutect2,Indels,tp,4053
atropos,mutect2,SNPs,fp,287
atropos,mutect2,Indels,fp,259
atropos,mutect2,SNPs,fn,8152
atropos,mutect2,Indels,fn,2172
atropos,strelka2,SNPs,tp,60014
atropos,strelka2,Indels,tp,4954
atropos,strelka2,SNPs,fp,63
atropos,strelka2,Indels,fp,23
atropos,strelka2,SNPs,fn,5942
atropos,strelka2,Indels,fn,1271
atropos-aggressive,vardict,SNPs,tp,61559
atropos-aggressive,vardict,Indels,tp,4764
atropos-aggressive,vardict,SNPs,fp,178
atropos-aggressive,vardict,Indels,fp,267
atropos-aggressive,vardict,SNPs,fn,4396
atropos-aggressive,vardict,Indels,fn,1460
atropos-aggressive,mutect2,SNPs,tp,57828
atropos-aggressive,mutect2,Indels,tp,4010
atropos-aggressive,mutect2,SNPs,fp,66
atropos-aggressive,mutect2,Indels,fp,172
atropos-aggressive,mutect2,SNPs,fn,8127
atropos-aggressive,mutect2,Indels,fn,2214
atropos-aggressive,strelka2,SNPs,tp,59681
atropos-aggressive,strelka2,Indels,tp,4890
atropos-aggressive,strelka2,SNPs,fp,51
atropos-aggressive,strelka2,Indels,fp,36
atropos-aggressive,strelka2,SNPs,fn,6274
atropos-aggressive,strelka2,Indels,fn,1334
notrim,vardict,SNPs,tp,59569
notrim,vardict,Indels,tp,4740
notrim,vardict,SNPs,fp,122
notrim,vardict,Indels,fp,176
notrim,vardict,SNPs,fn,6388
notrim,vardict,Indels,fn,1485
notrim,mutect2,SNPs,tp,57454
notrim,mutect2,Indels,tp,3922
notrim,mutect2,SNPs,fp,112
notrim,mutect2,Indels,fp,137
notrim,mutect2,SNPs,fn,8503
notrim,mutect2,Indels,fn,2303
notrim,strelka2,SNPs,tp,57781
notrim,strelka2,Indels,tp,4918
notrim,strelka2,SNPs,fp,65
notrim,strelka2,Indels,fp,15
notrim,strelka2,SNPs,fn,8176
notrim,strelka2,Indels,fn,1307
fastp,vardict,SNPs,tp,60972
fastp,vardict,Indels,tp,4823
fastp,vardict,SNPs,fp,151
fastp,vardict,Indels,fp,191
fastp,vardict,SNPs,fn,4985
fastp,vardict,Indels,fn,1402
fastp,mutect2,SNPs,tp,58036
fastp,mutect2,Indels,tp,4076
fastp,mutect2,SNPs,fp,202
fastp,mutect2,Indels,fp,204
fastp,mutect2,SNPs,fn,7921
fastp,mutect2,Indels,fn,2149
fastp,strelka2,SNPs,tp,59087
fastp,strelka2,Indels,tp,4985
fastp,strelka2,SNPs,fp,65
fastp,strelka2,Indels,fp,19
fastp,strelka2,SNPs,fn,6870
fastp,strelka2,Indels,fn,1240
