sample,caller,vtype,metric,value
giab-mix-tumor,freebayes,SNPs,tp,47764
giab-mix-tumor,freebayes,Indels,tp,2855
giab-mix-tumor,freebayes,SNPs,fp,249
giab-mix-tumor,freebayes,Indels,fp,38
giab-mix-tumor,freebayes,SNPs,fn,18162
giab-mix-tumor,freebayes,Indels,fn,3366
giab-mix-tumor,vardict,SNPs,tp,52019
giab-mix-tumor,vardict,Indels,tp,4517
giab-mix-tumor,vardict,SNPs,fp,714
giab-mix-tumor,vardict,Indels,fp,228
giab-mix-tumor,vardict,SNPs,fn,13907
giab-mix-tumor,vardict,Indels,fn,1704
giab-mix-tumor,mutect2,SNPs,tp,47348
giab-mix-tumor,mutect2,Indels,tp,3878
giab-mix-tumor,mutect2,SNPs,fp,1478
giab-mix-tumor,mutect2,Indels,fp,579
giab-mix-tumor,mutect2,SNPs,fn,18578
giab-mix-tumor,mutect2,Indels,fn,2343
giab-mix-tumor,strelka2,SNPs,tp,54726
giab-mix-tumor,strelka2,Indels,tp,4820
giab-mix-tumor,strelka2,SNPs,fp,159
giab-mix-tumor,strelka2,Indels,fp,28
giab-mix-tumor,strelka2,SNPs,fn,11200
giab-mix-tumor,strelka2,Indels,fn,1401
